1158,163
1158,162
1158,188
1157,162
1157,163
1157,162
1157,162
1157,162
1155,162
1155,162
1155,162
1155,162
1155,162
1154,162
1154,162
1154,162
1154,162
1154,162
1163,162
1163,163
1163,163
1163,162
1163,163
1193,165
1193,165
1193,164
1193,165
1193,165
1841,209
1841,209
1841,209
1841,208
1841,209
2933,283
2933,283
2933,284
2933,283
2933,283
4534,392
4534,392
4534,391
4534,392
4534,392
4871,415
4871,415
4871,415
4871,416
5000,424
5000,424
5000,423
5000,424
5000,493
5000,424
5000,425
5000,424
5000,423
5000,469
5000,424
5000,424
5000,423
5000,424
5000,460
5000,423
5000,424
5000,423
5000,423
5000,456
5000,423
5000,424
5000,424
5000,423
5000,455
4354,380
4354,380
4354,381
4354,379
4354,410
3362,312
3362,313
3362,312
3362,312
3362,313
2419,248
2419,248
2419,248
2419,249
2419,248
2067,223
2067,224
2067,224
2067,224
2067,225
1844,209
1844,209
1844,208
1844,208
1844,209
1676,198
1676,197
1676,197
1676,198
1676,198
1556,189
1556,190
1556,190
1556,189
1556,189
1431,180
1431,181
1431,181
1431,181
1431,181
1334,174
1334,174
1334,174
1334,174
1334,174
1239,168
1239,168
1239,168
1239,167
1239,168
1241,168
1241,168
1241,168
1241,168
1241,168
1241,168
1241,168
1241,168
1241,213
1239,167
1239,168
1239,168
1239,168
1239,200
1237,167
1237,168
1237,168
1237,167
1237,196
1233,167
1233,167
1233,167
1233,167
1233,193
1229,167
1229,167
1229,167
1229,167
1229,192
1225,167
1225,167
1225,167
1225,167
1225,192
1222,167
1222,167
1222,167
1222,167
1222,167
1220,167
1220,166
1220,166
1220,167
1220,167
1216,166
1216,166
1216,166
1216,166
1216,166
1213,167
1213,166
1213,166
1213,166
1213,166
1210,166
1210,166
1210,165
1210,166
1210,166
1206,165
1206,166
1206,166
1206,165
1206,165
1203,166
1203,165
1203,165
1203,166
1203,165
1200,165
1200,165
1200,165
1200,165
1200,165
1197,165
1197,165
1197,165
1197,165
1197,164
1195,164
1195,164
1195,165
1195,225
1194,165
1194,165
1194,165
1194,165
1194,202
1191,165
1191,164
1191,165
1191,164
1191,194
1187,164
1187,164
1187,164
1187,164
1187,191
